Source,Target,interaction_type,value
Tagishsimon,Arbnos,MODIFIED,1
Slasher-fun,Flávio Nuno Neves Rodrigues,MODIFIED,1
Slasher-fun,Slasher-fun,MODIFIED,1
Kethyga,Njzjz,MODIFIED,1
Kethyga,Kethyga,MODIFIED,3
FrankDay25,Jmimo98,MODIFIED,1
FrankDay25,FrankDay25,MODIFIED,7
Adrianmartinezuwu,Meno25,MODIFIED,1
Adrianmartinezuwu,Adrianmartinezuwu,MODIFIED,2
A1AA1A,Adrianmartinezuwu,MODIFIED,1
Kethyga,YFdyh000,MODIFIED,1
Kethyga,Kam Solusar,MODIFIED,1
VojtěchDostálBot,Moebeus,MODIFIED,1
BorkedBot,Escudero,MODIFIED,1
Brunnaiz,Nvrandow,MODIFIED,1
Brunnaiz,Brunnaiz,MODIFIED,3
Brunnaiz,VojtěchDostálBot,MODIFIED,1
INS Pirat,Väsk,MODIFIED,1
Horcrux,Horcrux,MODIFIED,3
Frettiebot,Frettiebot,MODIFIED,2
Laftp0,Laftp0,MODIFIED,1
MidleadingBot,Kethyga,MODIFIED,1
MidleadingBot,MidleadingBot,MODIFIED,3
BorkedBot,Jura1,MODIFIED,1
Lockal,Meisam,MODIFIED,1
Brunnaiz,INS Pirat,MODIFIED,1
Bcxfu75k,Սահակ,MODIFIED,1
Solidest,BorkedBot,MODIFIED,1
BorkedBot,Solidest,MODIFIED,1
ItsMario97,Abdu Hany,MODIFIED,1
ItsMario97,ItsMario97,MODIFIED,3
ItsMario97,Obsuser,MODIFIED,1
Ontogon,Sotho Tal Ker,MODIFIED,1
Gikü,A1AA1A,MODIFIED,1
AGbot,AdamSeattle,MODIFIED,1
Lolza81,Engelbert,MODIFIED,1
Lolza81,Lolza81,MODIFIED,1
Ontogon,Spinster,MODIFIED,1
Ontogon,Matlin,MODIFIED,1
Botcrux,Ontogon,MODIFIED,1
Bargioni,Lolza81,MODIFIED,1
MusicologoVzla,Tagishsimon,MODIFIED,1
MusicologoVzla,MusicologoVzla,MODIFIED,9
Frettiebot,MusicologoVzla,MODIFIED,1
Sldst-bot,Quenhitran,MODIFIED,1
Sldst-bot,Sldst-bot,MODIFIED,1
Solidest,Sldst-bot,MODIFIED,1
Szonlover,Gikü,MODIFIED,1
Meno25,Szonlover,MODIFIED,1
Horcrux,DavidMar86hdf,MODIFIED,1
MsynBot,I'mfeistyincognito,MODIFIED,1
MsynBot,Bcxfu75k,MODIFIED,1
Ontogon,KrBot,MODIFIED,1
Wolverène,Brunnaiz,MODIFIED,1
KrBot,PintochBot,MODIFIED,1
Twofivesixbot,Vojtěch Dostál,MODIFIED,1
Cardabela4831,Lovelano,MODIFIED,1
Haseeb55,Ontogon,MODIFIED,1
AwkwardChester,Brunnaiz,MODIFIED,1
Alex Cohn,Edward,MODIFIED,1
Sporti,Vojtěch Dostál,MODIFIED,1
Wikibility,Frettiebot,MODIFIED,1
Rubystaramaryllis,AwkwardChester,MODIFIED,1
Rubystaramaryllis,Rubystaramaryllis,MODIFIED,2
Rubystaramaryllis,Kirilloparma,MODIFIED,1
Moebeus,Frettiebot,MODIFIED,1
Franzekafka,Meno25,MODIFIED,1
EnaldoSS,Miikul,MODIFIED,1
EnaldoSS,EnaldoSS,MODIFIED,1
Epìdosis,Lolza81,MODIFIED,1
Reannie2394,Sporti,MODIFIED,1
Reannie2394,Reannie2394,MODIFIED,3
Soylacarli,Reannie2394,MODIFIED,1
Btcprox,Btcprox,MODIFIED,1
Yupik,Ontogon,MODIFIED,1
Jakeob9000,Moebeus,MODIFIED,1
Ameisenigel,Ameisenigel,MODIFIED,2
RealityBites,Soweego bot,MODIFIED,1
Kcx36,Kethyga,MODIFIED,1
EpidòseosBot,Ben Skála,MODIFIED,1
Strugglehouse,MsynBot,MODIFIED,1
Quick-ease2020,Franzekafka,MODIFIED,1
UndefinedRachel,Shei98,MODIFIED,1
DifoolBot,Rubystaramaryllis,MODIFIED,1
DifoolBot,Lasius,MODIFIED,1
DifoolBot,EpidòseosBot,MODIFIED,1
DifoolBot,User123o987name,MODIFIED,1
DifoolBot,Wolverène,MODIFIED,1
ShifaYT,Keepwishes,MODIFIED,1
ShifaYT,ShifaYT,MODIFIED,1
Kethyga,Soweego bot,MODIFIED,1
KrBot,Lolza81,MODIFIED,1
Frostly,DifoolBot,MODIFIED,1
Frostly,Frostly,MODIFIED,10
Lewis Hulbert,Lewis Hulbert,MODIFIED,1
Aleneitor,Helgi-S,MODIFIED,1
GilPe,Quick-ease2020,MODIFIED,1
GilPe,GilPe,MODIFIED,1
AgorahillsCW,ItsMario97,MODIFIED,1
AgorahillsCW,Lasius,MODIFIED,1
DeltaBot,AgorahillsCW,MODIFIED,1
Алиса Селезньова,GilPe,MODIFIED,1
26 Ramadan,Алиса Селезньова,MODIFIED,1
Iamcarbon,KrBot,MODIFIED,1
Iamcarbon,Soweego bot,MODIFIED,1
Ceaseless Watcher,Jakeob9000,MODIFIED,1
Ceaseless Watcher,DeltaBot,MODIFIED,1
Ceaseless Watcher,Ceaseless Watcher,MODIFIED,1
Ceaseless Watcher,DifoolBot,MODIFIED,1
Quesotiotyo,Quesotiotyo,MODIFIED,1
Vanbasten 23,Ontogon,MODIFIED,1
12u,Ontogon,MODIFIED,1
12u,PLbot,MODIFIED,1
12u,Obsuser,MODIFIED,2
Trade,Ontogon,MODIFIED,1
Nvrandow,ShifaYT,MODIFIED,1
Finnius00,Finnius00,MODIFIED,1
